epoch,task_a_mae,task_b_acc,task_b_f1
1,30.181759,0.7167919799498746,0.0
2,29.497534,0.7167919799498746,0.0
3,28.51195,0.7167919799498746,0.0
4,27.264462,0.7167919799498746,0.0
5,25.589247,0.7167919799498746,0.0
6,23.810993,0.7167919799498746,0.0
7,20.86496,0.7167919799498746,0.0
8,18.283747,0.7167919799498746,0.0
9,15.775983,0.7167919799498746,0.0
10,14.31486,0.7769423558897243,0.48554913294797686
11,11.820931,0.7869674185463659,0.6768060836501901
12,10.15726,0.7593984962406015,0.6496350364963503
13,6.2128277,0.7819548872180451,0.5396825396825397
14,5.119768,0.7844611528822055,0.6666666666666666
15,2.4320252,0.7869674185463659,0.6792452830188679
16,3.1051056,0.7669172932330827,0.6666666666666666
17,1.8504834,0.7969924812030075,0.6582278481012658
18,2.0223625,0.7969924812030075,0.6553191489361702
19,2.7960544,0.7669172932330827,0.6666666666666666
20,2.3508432,0.7819548872180451,0.6098654708520179
21,1.9036007,0.7894736842105263,0.6842105263157895
22,1.5720625,0.7844611528822055,0.6717557251908397
23,2.7396762,0.7919799498746867,0.6745098039215687
24,2.0010498,0.7894736842105263,0.671875
25,1.5520424,0.7919799498746867,0.6770428015564203
26,2.2675166,0.7944862155388471,0.6019417475728155
27,2.0487404,0.8070175438596491,0.6695278969957081
28,1.5709314,0.7794486215538847,0.4942528735632184
29,2.4114087,0.7944862155388471,0.6132075471698113
30,2.146775,0.7944862155388471,0.6771653543307087
