epoch,task_a_mae,task_b_acc,task_b_f1
1,14.45,0.52,0.41500000000000004
2,13.9,0.54,0.43000000000000005
3,13.35,0.56,0.445
4,12.8,0.58,0.46
5,12.25,0.6,0.47500000000000003
6,11.7,0.62,0.49
7,11.149999999999999,0.64,0.505
8,10.6,0.66,0.52
9,10.05,0.6799999999999999,0.535
10,9.5,0.7,0.55
11,8.95,0.72,0.565
12,8.399999999999999,0.74,0.5800000000000001
13,7.85,0.76,0.595
14,7.299999999999999,0.78,0.61
15,6.75,0.8,0.625
16,6.199999999999999,0.8200000000000001,0.64
17,5.649999999999999,0.8400000000000001,0.655
18,5.1,0.85,0.67
19,4.549999999999999,0.85,0.685
20,4.0,0.85,0.7
21,3.4499999999999993,0.85,0.7150000000000001
22,2.8999999999999986,0.85,0.73
23,2.3499999999999996,0.85,0.745
24,1.799999999999999,0.85,0.75
25,1.6,0.85,0.75
26,1.6,0.85,0.75
27,1.6,0.85,0.75
28,1.6,0.85,0.75
29,1.6,0.85,0.75
30,1.6,0.85,0.75
